web_scraper_order,web_scraper_start_url,containers,brand,yrear,price,address,owner
"1765294926-1","https://dakar-auto.com/senegal/location-de-voitures-19?&page=9","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/fusion/annonce-134587","Ford Fusion 2013 Dakar","Année: 2013","30 000 F CFA","Sicap Liberté                    
                
                                    
                        Dakar","KINGCARS  Service"
"1765294929-2","https://dakar-auto.com/senegal/location-de-voitures-19?&page=9","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/explorer/annonce-134586","Ford Explorer 2012 Dakar","Année: 2012","40 000 F CFA","Sicap Liberté                    
                
                                    
                        Dakar","KINGCARS  Service"
"1765294945-3","https://dakar-auto.com/senegal/location-de-voitures-19?&page=9","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/hyundai/elantra/annonce-134581","Hyundai Elantra 2017 Dakar","Année: 2017","35 000 F CFA","Yoff                    
                
                                    
                        Dakar","Abdia Sn"
"1765294949-4","https://dakar-auto.com/senegal/location-de-voitures-19?&page=9","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/dodge/journey/annonce-134585","Dodge Journey 2012 Dakar","Année: 2012","30 000 F CFA","Yoff                    
                
                                    
                        Dakar","A vos  services"
"1765294955-5","https://dakar-auto.com/senegal/location-de-voitures-19?&page=8","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/hyundai/elantra/annonce-134584","Hyundai Elantra 2016 Dakar","Année: 2016","20 000 F CFA","Yoff                    
                
                                    
                        Dakar","A vos  services"
"1765294958-6","https://dakar-auto.com/senegal/location-de-voitures-19?&page=8","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/mazda/cx5/annonce-134579","Mazda cx5 2013 Dakar","Année: 2013","30 000 F CFA","Yoff                    
                
                                    
                        Dakar","A vos  services"
"1765294961-7","https://dakar-auto.com/senegal/location-de-voitures-19?&page=8","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/chevrolet/equinox/annonce-134578","Chevrolet Equinox 2012 Dakar","Année: 2012","30 000 F CFA","Yoff                    
                
                                    
                        Dakar","A vos  services"
"1765294965-8","https://dakar-auto.com/senegal/location-de-voitures-19?&page=8","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/dodge/dart/annonce-134577","Dodge Dart 2013 Dakar","Année: 2013","20 000 F CFA","Yoff                    
                
                                    
                        Dakar","A vos  services"
"1765294967-9","https://dakar-auto.com/senegal/location-de-voitures-19?&page=8","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/citroen/c3/annonce-134576","Citroen C3 2019 Dakar","Année: 2019","25 000 F CFA","Yoff                    
                
                                    
                        Dakar","A vos  services"
"1765294971-10","https://dakar-auto.com/senegal/location-de-voitures-19?&page=8","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/mazda/cx-5/annonce-134575","Mazda Cx-5 2013 Dakar","Année: 2013","30 000 F CFA","Yoff                    
                
                                    
                        Dakar","A vos  services"
